Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping
Incident,2014,April,Western Asia,Mediterranean,Syrian Arab Republic,8,1,9,5,2,0,1,Drowning,Eastern Mediterranean,Türkiye waters - en route to Greece,,"38.669208, 27",Uncategorized
Incident,2014,April,Central America,Central America,"Honduras,Mexico",4,0,4,3,0,0,0,Violence,,"On la Bestia, near Arriaga, Chiapas, Mexico",Soy 502,"16.242196, -94",Central America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1886, -113.0037",Northern America
Incident,2014,April,Eastern Asia,South-eastern Asia,China,5,0,5,0,0,0,0,Violence,,Border China/Vietnam,New York Times,"21.5928, 107",South-eastern Asia
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1833, -112.9961",Northern America
Incident,2014,April,Southern Asia,South-eastern Asia,Cambodia,7,0,7,7,2,5,0,Vehicle accident / death linked to hazardous transport,,"344 Road, 39-40th km, Nong Sue Chang subdistrict, Nong Yai district, Chonburi province, Thailand","Naewna,  Post Today, Daily News, Manager Online","13.3493133, 101",South-eastern Asia
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.99887, -110.862595",Northern America
Incident,2014,April,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.467633, -110.793333",Northern America
Incident,2014,April,Eastern Africa,Mediterranean,Somalia,0,40,40,1,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web,"34.3706, 14",Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59867, -111.43782",Northern America
Incident,2014,May,Caribbean,Caribbean,Unknown,6,3,9,16,0,0,0,Drowning,,"Dominican Republic, near Boca Chica and Juan Dolio",Dominican Today,"18.3079, -70",Caribbean
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.58023, -111.79283",Northern America
Incident,2014,May,Eastern Africa,Mediterranean,"Eritrea,Ethiopia,Somalia",4,0,4,80,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web ,"33.1045, 14",Uncategorized
Incident,2014,May,Eastern Africa,Europe,Eritrea,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"A16 motorway, near Condette, France","Calais Migrant Solidarity, La Voix du Nord","50.9513, 1.85869",Western Europe
Incident,2014,May,Unknown,Mediterranean,Unknown,22,7,29,36,0,0,0,Drowning,Eastern Mediterranean,Waters near Greece,BBC,"37.848433, 27",Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12555, -112.868",Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,44,33,77,53,0,0,0,Drowning,Central Mediterranean,Coast of Libya,Relief Web/UNHCR,"32.6801, 16",Uncategorized
Incident,2014,May,Eastern Africa,Mediterranean,Eritrea,1,0,1,0,0,1,0,Mixed or unknown,Central Mediterranean,Mediterranean waters,ANSA Med,"35.8196, 12",Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.75233, -111.97016",Northern America
Incident,2014,May,Southern Asia,South-eastern Asia,Myanmar,1,0,1,17,0,0,0,Vehicle accident / death linked to hazardous transport,,"Petchkasem road, Tamtua subdistrict, Takua Pa district, Phang Nga province, Thailand","Sanook, Manager Online, Thairath Online","8.855529, 98",South-eastern Asia
Incident,2014,May,Western Africa,Northern Africa,Niger,13,33,46,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Desert in southern Algeria,Reuters and Middle East eye,"23.5301672, 2",Northern Africa
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Violence,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.692369, -110.360473",Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,17,200,217,226,12,2,3,Drowning,Central Mediterranean,International waters between Libya and Italy,ANSA Med and Relief Web. Also see NYT http://www.nytimes.com/2014/05/13/world/europe/at-least-14-die-as-migrant-boat-headed-for-italy-sinks-off-libyan-coast.html?_r=0,"34.7086, 16",Uncategorized
Incident,2014,May,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.95283, -112.34965",Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.61445, -111.68357",Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.46313, -111.6213",Northern America
Incident,2014,May,Southern Asia,Mediterranean,Afghanistan,1,0,1,0,0,1,1,Accidental death,Eastern Mediterranean,Greece,Afghan immigrant dies in back of truck,"39.5061, 20",Uncategorized
Incident,2014,May,Northern Africa,Europe,Sudan,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"Calais, France","Calais Migrant Solidarity, La Voix du Nord","50.9513, 1.85869",Western Europe
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0667, -113.1525",Northern America
Incident,2014,May,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.34675, -109.4814",Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437783, -111.636383",Northern America
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437983, -111.636383",Northern America
Incident,2014,May,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",62,0,62,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Gulf of Aden,New Vision,"12.5331, 48",Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.62445, -111.3423",Northern America
Incident,2014,June,Central America,North America,Mexico,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.334397, -110.96816",Northern America
Incident,2014,June,Unknown,Mediterranean,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Central Mediterranean,Italian waters,Reuters,"35.358, 13",Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.564183, -111.670617",Northern America
Incident,2014,June,Middle Africa,Mediterranean,Central African Republic,4,0,4,0,0,0,0,Drowning,Central Mediterranean,Italian waters,The Guardian,"35.4125, 12",Uncategorized
Incident,2014,June,Unknown,Mediterranean,Unknown,3,2,5,0,0,0,0,Drowning,Central Mediterranean,Italian waters,The Guardian,"36.4935, 14",Uncategorized
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.906667, -112.0059",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.23316, -112.959966",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.05, -112.9",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.48843, -112.59816",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.778767, -111.396767",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.833333, -113.75",Northern America
Incident,2014,June,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.914994, -111.875669",Northern America
